id,x,y
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,-0,0
11,-0,0
12,-0,0
13,-0,0
14,-0,0
15,-0,0
16,-0,0
17,-0,0
18,-0,0
19,-0,-0
20,-0,-0
21,-0,-0
22,-0,-0
23,-0,-0
24,-0,-0
25,-0,-0
26,-0,-0
27,-0,-0
28,0,-0
29,0,-0
30,0,-0
31,0,-0
32,0,-0
33,0,-0
34,0,-0
35,0,-0
36,0.1,0
37,0.0984808,0.0173648
38,0.0939693,0.034202
39,0.0866025,0.05
40,0.0766044,0.0642788
41,0.0642788,0.0766044
42,0.05,0.0866025
43,0.034202,0.0939693
44,0.0173648,0.0984808
45,6.12303e-18,0.1
46,-0.0173648,0.0984808
47,-0.034202,0.0939693
48,-0.05,0.0866025
49,-0.0642788,0.0766044
50,-0.0766044,0.0642788
51,-0.0866025,0.05
52,-0.0939693,0.034202
53,-0.0984808,0.0173648
54,-0.1,1.22461e-17
55,-0.0984808,-0.0173648
56,-0.0939693,-0.034202
57,-0.0866025,-0.05
58,-0.0766044,-0.0642788
59,-0.0642788,-0.0766044
60,-0.05,-0.0866025
61,-0.034202,-0.0939693
62,-0.0173648,-0.0984808
63,-1.83691e-17,-0.1
64,0.0173648,-0.0984808
65,0.034202,-0.0939693
66,0.05,-0.0866025
67,0.0642788,-0.0766044
68,0.0766044,-0.0642788
69,0.0866025,-0.05
70,0.0939693,-0.034202
71,0.0984808,-0.0173648
72,0.2,0
73,0.196962,0.0347296
74,0.187939,0.068404
75,0.173205,0.1
76,0.153209,0.128558
77,0.128558,0.153209
78,0.1,0.173205
79,0.068404,0.187939
80,0.0347296,0.196962
81,1.22461e-17,0.2
82,-0.0347296,0.196962
83,-0.068404,0.187939
84,-0.1,0.173205
85,-0.128558,0.153209
86,-0.153209,0.128558
87,-0.173205,0.1
88,-0.187939,0.068404
89,-0.196962,0.0347296
90,-0.2,2.44921e-17
91,-0.196962,-0.0347296
92,-0.187939,-0.068404
93,-0.173205,-0.1
94,-0.153209,-0.128558
95,-0.128558,-0.153209
96,-0.1,-0.173205
97,-0.068404,-0.187939
98,-0.0347296,-0.196962
99,-3.67382e-17,-0.2
100,0.0347296,-0.196962
101,0.068404,-0.187939
102,0.1,-0.173205
103,0.128558,-0.153209
104,0.153209,-0.128558
105,0.173205,-0.1
106,0.187939,-0.068404
107,0.196962,-0.0347296
108,0.3,0
109,0.295442,0.0520945
110,0.281908,0.102606
111,0.259808,0.15
112,0.229813,0.192836
113,0.192836,0.229813
114,0.15,0.259808
115,0.102606,0.281908
116,0.0520945,0.295442
117,1.83691e-17,0.3
118,-0.0520945,0.295442
119,-0.102606,0.281908
120,-0.15,0.259808
121,-0.192836,0.229813
122,-0.229813,0.192836
123,-0.259808,0.15
124,-0.281908,0.102606
125,-0.295442,0.0520945
126,-0.3,3.67382e-17
127,-0.295442,-0.0520945
128,-0.281908,-0.102606
129,-0.259808,-0.15
130,-0.229813,-0.192836
131,-0.192836,-0.229813
132,-0.15,-0.259808
133,-0.102606,-0.281908
134,-0.0520945,-0.295442
135,-5.51073e-17,-0.3
136,0.0520945,-0.295442
137,0.102606,-0.281908
138,0.15,-0.259808
139,0.192836,-0.229813
140,0.229813,-0.192836
141,0.259808,-0.15
142,0.281908,-0.102606
143,0.295442,-0.0520945
144,0.4,0
145,0.393923,0.0694593
146,0.375877,0.136808
147,0.34641,0.2
148,0.306418,0.257115
149,0.257115,0.306418
150,0.2,0.34641
151,0.136808,0.375877
152,0.0694593,0.393923
153,2.44921e-17,0.4
154,-0.0694593,0.393923
155,-0.136808,0.375877
156,-0.2,0.34641
157,-0.257115,0.306418
158,-0.306418,0.257115
159,-0.34641,0.2
160,-0.375877,0.136808
161,-0.393923,0.0694593
162,-0.4,4.89843e-17
163,-0.393923,-0.0694593
164,-0.375877,-0.136808
165,-0.34641,-0.2
166,-0.306418,-0.257115
167,-0.257115,-0.306418
168,-0.2,-0.34641
169,-0.136808,-0.375877
170,-0.0694593,-0.393923
171,-7.34764e-17,-0.4
172,0.0694593,-0.393923
173,0.136808,-0.375877
174,0.2,-0.34641
175,0.257115,-0.306418
176,0.306418,-0.257115
177,0.34641,-0.2
178,0.375877,-0.136808
179,0.393923,-0.0694593
180,0.5,0
181,0.492404,0.0868241
182,0.469846,0.17101
183,0.433013,0.25
184,0.383022,0.321394
185,0.321394,0.383022
186,0.25,0.433013
187,0.17101,0.469846
188,0.0868241,0.492404
189,3.06152e-17,0.5
190,-0.0868241,0.492404
191,-0.17101,0.469846
192,-0.25,0.433013
193,-0.321394,0.383022
194,-0.383022,0.321394
195,-0.433013,0.25
196,-0.469846,0.17101
197,-0.492404,0.0868241
198,-0.5,6.12303e-17
199,-0.492404,-0.0868241
200,-0.469846,-0.17101
201,-0.433013,-0.25
202,-0.383022,-0.321394
203,-0.321394,-0.383022
204,-0.25,-0.433013
205,-0.17101,-0.469846
206,-0.0868241,-0.492404
207,-9.18455e-17,-0.5
208,0.0868241,-0.492404
209,0.17101,-0.469846
210,0.25,-0.433013
211,0.321394,-0.383022
212,0.383022,-0.321394
213,0.433013,-0.25
214,0.469846,-0.17101
215,0.492404,-0.0868241
216,0.6,0
217,0.590885,0.104189
218,0.563816,0.205212
219,0.519615,0.3
220,0.459627,0.385673
221,0.385673,0.459627
222,0.3,0.519615
223,0.205212,0.563816
224,0.104189,0.590885
225,3.67382e-17,0.6
226,-0.104189,0.590885
227,-0.205212,0.563816
228,-0.3,0.519615
229,-0.385673,0.459627
230,-0.459627,0.385673
231,-0.519615,0.3
232,-0.563816,0.205212
233,-0.590885,0.104189
234,-0.6,7.34764e-17
235,-0.590885,-0.104189
236,-0.563816,-0.205212
237,-0.519615,-0.3
238,-0.459627,-0.385673
239,-0.385673,-0.459627
240,-0.3,-0.519615
241,-0.205212,-0.563816
242,-0.104189,-0.590885
243,-1.10215e-16,-0.6
244,0.104189,-0.590885
245,0.205212,-0.563816
246,0.3,-0.519615
247,0.385673,-0.459627
248,0.459627,-0.385673
249,0.519615,-0.3
250,0.563816,-0.205212
251,0.590885,-0.104189
252,0.7,0
253,0.689365,0.121554
254,0.657785,0.239414
255,0.606218,0.35
256,0.536231,0.449951
257,0.449951,0.536231
258,0.35,0.606218
259,0.239414,0.657785
260,0.121554,0.689365
261,4.28612e-17,0.7
262,-0.121554,0.689365
263,-0.239414,0.657785
264,-0.35,0.606218
265,-0.449951,0.536231
266,-0.536231,0.449951
267,-0.606218,0.35
268,-0.657785,0.239414
269,-0.689365,0.121554
270,-0.7,8.57224e-17
271,-0.689365,-0.121554
272,-0.657785,-0.239414
273,-0.606218,-0.35
274,-0.536231,-0.449951
275,-0.449951,-0.536231
276,-0.35,-0.606218
277,-0.239414,-0.657785
