id,x,y
161,15.3492,0.5
162,15.3199,1.43239
163,15.2322,2.3611
164,15.0862,3.28247
165,14.8827,4.19286
166,14.6225,5.08867
167,14.3065,5.96637
168,13.936,6.8225
169,13.5125,7.65368
170,13.0376,8.45662
171,12.5133,9.22817
172,11.9415,9.96526
173,11.3246,10.665
174,10.665,11.3246
175,9.96526,11.9415
176,9.22817,12.5133
177,8.45662,13.0376
178,7.65368,13.5125
179,6.8225,13.936
180,5.96637,14.3065
181,5.08867,14.6225
182,4.19286,14.8827
183,3.28247,15.0862
184,2.3611,15.2322
185,1.43239,15.3199
186,0.5,15.3492
187,-0.432392,15.3199
188,-1.3611,15.2322
189,-2.28247,15.0862
190,-3.19286,14.8827
191,-4.08867,14.6225
192,-4.96637,14.3065
193,-5.8225,13.936
194,-6.65368,13.5125
195,-7.45662,13.0376
196,-8.22817,12.5133
197,-8.96526,11.9415
198,-9.66501,11.3246
199,-10.3246,10.665
200,-10.9415,9.96526
201,-11.5133,9.22817
202,-12.0376,8.45662
203,-12.5125,7.65368
204,-12.936,6.8225
205,-13.3065,5.96637
206,-13.6225,5.08867
207,-13.8827,4.19286
208,-14.0862,3.28247
209,-14.2322,2.3611
210,-14.3199,1.43239
211,-14.3492,0.5
212,-14.3199,-0.432392
213,-14.2322,-1.3611
214,-14.0862,-2.28247
215,-13.8827,-3.19286
216,-13.6225,-4.08867
217,-13.3065,-4.96637
218,-12.936,-5.8225
219,-12.5125,-6.65368
220,-12.0376,-7.45662
221,-11.5133,-8.22817
222,-10.9415,-8.96526
223,-10.3246,-9.66501
224,-9.66501,-10.3246
225,-8.96526,-10.9415
226,-8.22817,-11.5133
227,-7.45662,-12.0376
228,-6.65368,-12.5125
229,-5.8225,-12.936
230,-4.96637,-13.3065
231,-4.08867,-13.6225
232,-3.19286,-13.8827
233,-2.28247,-14.0862
234,-1.3611,-14.2322
235,-0.432392,-14.3199
236,0.5,-14.3492
237,1.43239,-14.3199
238,2.3611,-14.2322
239,3.28247,-14.0862
240,4.19286,-13.8827
241,5.08867,-13.6225
242,5.96637,-13.3065
243,6.8225,-12.936
244,7.65368,-12.5125
245,8.45662,-12.0376
246,9.22817,-11.5133
247,9.96526,-10.9415
248,10.665,-10.3246
249,11.3246,-9.66501
250,11.9415,-8.96526
251,12.5133,-8.22817
252,13.0376,-7.45662
253,13.5125,-6.65368
254,13.936,-5.8225
255,14.3065,-4.96637
256,14.6225,-4.08867
257,14.8827,-3.19286
258,15.0862,-2.28247
259,15.2322,-1.3611
260,15.3199,-0.432392
