id,x,y
0,0,0
1,0.333333,0
2,0.666667,0
3,1,0
4,1.33333,0
5,1.66667,0
6,2,0
7,2.33333,0
8,2.66667,0
9,3,0
10,3.33333,0
11,3.66667,0
12,4,0
13,4.33333,0
14,4.66667,0
15,5,0
16,5.33333,0
17,5.66667,0
18,6,0
19,6,0.333333
20,6,0.666667
21,6,1
22,6,1.33333
23,6,1.66667
24,6,2
25,5.66667,2
26,5.33333,2
27,5,2
28,4.66667,2
29,4.33333,2
30,4,2
31,3.66667,2
32,3.33333,2
33,3,2
34,2.66667,2
35,2.33333,2
36,2,2
37,1.66667,2
38,1.33333,2
39,1,2
40,0.666667,2
41,0.333333,2
42,0,2
43,0,1.66667
44,0,1.33333
45,0,1
46,0,0.666667
47,0,0.333333
48,3.66667,1
49,3.57735,1.33333
50,3.33333,1.57735
51,3,1.66667
52,2.66667,1.57735
53,2.42265,1.33333
54,2.33333,1
55,2.42265,0.666667
56,2.66667,0.42265
57,3,0.333333
58,3.33333,0.42265
59,3.57735,0.666667
60,0.00750755,1.12717
61,1.15983,1.61748
62,2.10175,1.79192
63,4.93704,1.49321
64,1.04465,1.71789
65,4.26301,1.02707
66,1.82397,0.0299692
67,0.548418,0.728904
68,0.883877,0.331797
69,5.93115,0.891385
70,0.714499,0.00933866
71,0.0534684,0.75576
72,3.61058,1.21433
73,0.997406,1.32609
74,0.342235,1.21537
75,4.69991,1.60521
76,5.25584,1.45335
77,5.7354,1.85144
78,3.23612,0.284677
79,5.17344,0.419202
80,4.67794,1.68731
81,5.98077,1.99939
82,3.669,0.784875
83,1.59728,0.594562
84,5.04086,0.0474868
85,2.2552,0.185247
86,4.06323,0.11243
87,0.052736,1.83758
88,1.65532,0.545793
89,5.02567,1.45299
