n0,n1,n2
21,20,23
22,21,23
20,19,24
23,20,24
19,18,25
24,19,25
25,18,26
26,18,27
26,27,44
27,44,45
25,26,45
26,44,45
27,45,46
24,25,46
25,45,46
27,46,47
23,24,47
24,46,47
27,47,48
22,23,48
23,47,48
27,48,49
22,48,49
22,49,50
27,49,50
22,50,51
22,51,52
22,52,60
51,52,61
52,60,61
22,60,61
27,50,62
50,51,62
51,61,62
49,50,62
21,22,62
22,61,62
48,49,63
49,62,63
50,62,63
21,62,63
27,62,63
27,63,64
48,63,64
20,21,64
21,63,64
27,64,65
47,48,65
48,64,65
18,19,65
19,20,65
20,64,65
27,65,66
18,65,66
27,66,67
18,66,67
18,67,68
18,68,69
18,69,70
71,75,76
71,76,77
18,70,78
70,71,78
71,77,78
18,78,79
18,79,80
18,80,81
66,67,81
66,81,82
65,66,83
66,82,83
6,90,91
7,90,6
8,89,90
8,90,7
9,87,88
9,88,89
9,89,8
10,27,18
10,87,9
11,84,85
11,10,27
12,82,83
12,83,84
12,45,46
12,84,85
12,44,45
12,11,27
12,84,11
12,11,44
12,85,11
13,81,82
13,83,84
13,12,27
13,82,12
13,12,46
13,84,12
14,46,47
14,85,86
14,86,87
14,10,18
14,87,10
14,13,46
14,83,13
15,18,81
15,81,82
15,82,83
15,83,84
15,84,85
15,14,18
15,85,14
16,13,27
16,27,67
16,67,81
16,81,13
16,14,47
16,47,65
16,65,83
16,83,14
27,43,44
27,42,43
27,11,10
27,44,11
28,9,8
28,10,9
28,27,10
28,42,27
29,41,42
29,8,7
29,28,8
29,42,28
30,40,41
30,39,40
30,29,7
30,41,29
31,91,39
31,91,6
31,7,6
31,30,7
31,39,30
