id,x,y,temperature
0,0,0,100
1,0.333333,0,95.754
2,0.666667,0,91.509
3,1,0,87.2335
4,1.33333,0,82.9147
5,1.66667,0,78.4079
6,2,0,73.5201
7,2.33333,0,67.8167
8,2.66667,0,60.0894
9,3,0,49.816
10,3.33333,0,39.8993
11,3.66667,0,32.3426
12,4,0,26.4716
13,4.33333,0,21.7071
14,4.66667,0,17.2515
15,5,0,12.8711
16,5.33333,0,8.54588
17,5.66667,0,4.26981
18,6,0,0
19,6,0.333333,0
20,6,0.666667,0
21,6,1,0
22,6,1.33333,0
23,6,1.66667,0
24,6,2,0
25,5.66667,2,4.2648
26,5.33333,2,8.53867
27,5,2,12.839
28,4.66667,2,17.2381
29,4.33333,2,21.8737
30,4,2,26.6131
31,3.66667,2,32.276
32,3.33333,2,39.8179
33,3,2,50.0408
34,2.66667,2,60.2673
35,2.33333,2,67.8273
36,2,2,73.9052
37,1.66667,2,78.375
38,1.33333,2,82.7715
39,1,2,87.1286
40,0.666667,2,91.4287
41,0.333333,2,95.7157
42,0,2,100
43,0,1.66667,100
44,0,1.33333,100
45,0,1,100
46,0,0.666667,100
47,0,0.333333,100
48,3.66667,1,27.5178
49,3.57735,1.33333,30.0767
50,3.33333,1.57735,37.3297
51,3,1.66667,50.039
52,2.66667,1.57735,62.7428
53,2.42265,1.33333,70.2717
54,2.33333,1,72.307
55,2.42265,0.666667,70.182
56,2.66667,0.42265,62.5163
57,3,0.333333,50.0319
58,3.33333,0.42265,37.2111
59,3.57735,0.666667,30.0148
60,0.00750755,1.12717,99.904
61,1.15983,1.61748,85.0829
62,2.10175,1.79192,72.6837
63,4.93704,1.49321,13.5561
64,1.04465,1.71789,86.5698
65,4.26301,1.02707,21.6411
66,1.82397,0.0299692,76.1279
67,0.548418,0.728904,93.0071
68,0.883877,0.331797,88.7546
69,5.93115,0.891385,0.87906
70,0.714499,0.00933866,90.8964
71,0.0534684,0.75576,99.3181
72,3.61058,1.21433,28.8759
73,0.997406,1.32609,87.2387
74,0.342235,1.21537,95.6239
75,4.69991,1.60521,16.6349
76,5.25584,1.45335,9.49366
77,5.7354,1.85144,3.38328
78,3.23612,0.284677,41.5356
79,5.17344,0.419202,10.5613
80,4.67794,1.68731,16.9811
81,5.98077,1.99939,0.245989
82,3.669,0.784875,28.4666
83,1.59728,0.594562,79.8736
84,5.04086,0.0474868,12.3365
85,2.2552,0.185247,69.759
86,4.06323,0.11243,25.3799
87,0.052736,1.83758,99.3222
88,1.65532,0.545793,79.0922
89,5.02567,1.45299,12.4215
