ax,ay,bx,by,cx,cy
5,0,6,0,6,1
0,2,0,1,0.052736,1.83758
2,0,2.2552,0.185247,1.65532,0.545793
3,2,2,2,2.74776,1.89831
4,0,5,0,4.46663,0.216559
4.06323,0.11243,4,0,4.46663,0.216559
5,2,4,2,4.41005,1.21793
5.02567,1.45299,5,2,4.41005,1.21793
4,2,3.52745,1.38237,4.41005,1.21793
3,0,4,0,3.43443,0.722678
4,0,4.06323,0.11243,3.43443,0.722678
4.06323,0.11243,3.59429,0.77047,3.43443,0.722678
3.59429,0.77047,3.52745,1.38237,3.43443,0.722678
0,0,1,0,0.90933,0.450209
0,1,0,0,0.90933,0.450209
1.65532,0.545793,2.2552,0.185247,2.55092,1.60576
2.2552,0.185247,2.90963,0.410718,2.55092,1.60576
2,2,1.65532,0.545793,2.55092,1.60576
2.74776,1.89831,2,2,2.55092,1.60576
2.90963,0.410718,3.43443,0.722678,2.55092,1.60576
3.43443,0.722678,3.52745,1.38237,2.55092,1.60576
4,2,3,2,3.10263,1.97998
3.52745,1.38237,4,2,3.10263,1.97998
3,2,2.74776,1.89831,3.10263,1.97998
2.74776,1.89831,2.55092,1.60576,3.10263,1.97998
2.55092,1.60576,3.52745,1.38237,3.10263,1.97998
4.46663,0.216559,5,0,4.50929,0.691122
0.052736,1.83758,0,1,1.01389,1.31462
1.65532,0.545793,2,2,1.01389,1.31462
3,0,3.43443,0.722678,2.95138,0.127079
3.43443,0.722678,2.90963,0.410718,2.95138,0.127079
3.52745,1.38237,3.59429,0.77047,4.19855,1.00961
4.41005,1.21793,3.52745,1.38237,4.19855,1.00961
4.46242,0.936918,4.41005,1.21793,4.19855,1.00961
1,2,0,2,0.884976,1.89917
0,2,0.052736,1.83758,0.884976,1.89917
0.052736,1.83758,1.01389,1.31462,0.849452,1.81024
0.884976,1.89917,0.052736,1.83758,0.849452,1.81024
4.06323,0.11243,4.46663,0.216559,4.15735,0.606098
4.46663,0.216559,4.50929,0.691122,4.15735,0.606098
4.50929,0.691122,4.46242,0.936918,4.15735,0.606098
4.46242,0.936918,4.19855,1.00961,4.15735,0.606098
3.59429,0.77047,4.06323,0.11243,4.15735,0.606098
4.19855,1.00961,3.59429,0.77047,4.15735,0.606098
2,0,3,0,2.55934,0.140751
2.2552,0.185247,2,0,2.55934,0.140751
3,0,2.95138,0.127079,2.55934,0.140751
2.90963,0.410718,2.2552,0.185247,2.55934,0.140751
2.95138,0.127079,2.90963,0.410718,2.55934,0.140751
6,1,6,2,5.79968,1.36637
6,2,5,2,5.79968,1.36637
5,2,5.02567,1.45299,5.79968,1.36637
2,2,1,2,0.919401,1.75451
1.01389,1.31462,2,2,0.919401,1.75451
0.849452,1.81024,1.01389,1.31462,0.919401,1.75451
1,2,0.884976,1.89917,0.919401,1.75451
0.884976,1.89917,0.849452,1.81024,0.919401,1.75451
5.02567,1.45299,4.41005,1.21793,4.93008,1.1641
4.41005,1.21793,4.46242,0.936918,4.93008,1.1641
5.79968,1.36637,5.02567,1.45299,4.93008,1.1641
1,0,2,0,1.14811,0.355785
2,0,1.65532,0.545793,1.14811,0.355785
0.90933,0.450209,1,0,1.14811,0.355785
5,0,6,1,4.90316,0.950529
4.50929,0.691122,5,0,4.90316,0.950529
4.46242,0.936918,4.50929,0.691122,4.90316,0.950529
4.93008,1.1641,4.46242,0.936918,4.90316,0.950529
6,1,5.79968,1.36637,4.90316,0.950529
5.79968,1.36637,4.93008,1.1641,4.90316,0.950529
0,1,0.90933,0.450209,0.933317,1.00784
1.01389,1.31462,0,1,0.933317,1.00784
1.65532,0.545793,1.01389,1.31462,0.933317,1.00784
1.14811,0.355785,1.65532,0.545793,0.933317,1.00784
0.90933,0.450209,1.14811,0.355785,0.933317,1.00784
